# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': '/gscratch/stf/vkashyap/nwxpl/work/100427/xanes/output.out', 'outfile': '/gscratch/stf/vkashyap/nwxpl/work/100427/xanes/xanes.dat', 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.7655712000e+03    4.1300000000e-03
2.7655728000e+03    4.1300000000e-03
2.7676188000e+03    6.0000000000e-05
2.7677335000e+03    6.0000000000e-05
2.7681121000e+03    3.0000000000e-05
2.7681356000e+03    4.0000000000e-05
2.7685103000e+03    0.0000000000e+00
2.7685269000e+03    2.0000000000e-05
2.7687443000e+03    0.0000000000e+00
2.7687548000e+03    2.0000000000e-05
2.7690338000e+03    0.0000000000e+00
2.7690392000e+03    2.0000000000e-05
2.7692134000e+03    1.5000000000e-04
2.7692949000e+03    5.0000000000e-05
2.7693536000e+03    2.0000000000e-04
2.7694810000e+03    1.0000000000e-04
2.7697756000e+03    1.0000000000e-05
2.7698058000e+03    8.0000000000e-05
2.7698715000e+03    5.0000000000e-05
2.7700421000e+03    2.0000000000e-05
2.7701999000e+03    4.0000000000e-05
2.7702044000e+03    3.0000000000e-05
2.7705022000e+03    5.0000000000e-05
2.7705101000e+03    1.3000000000e-04
2.7705757000e+03    2.0000000000e-05
2.7707140000e+03    4.0000000000e-05
2.7708434000e+03    1.5000000000e-04
2.7709898000e+03    4.0000000000e-05
2.7710333000e+03    5.0000000000e-05
2.7710807000e+03    4.0000000000e-05
2.7711465000e+03    2.0000000000e-05
2.7714301000e+03    8.0000000000e-05
2.7716313000e+03    5.2000000000e-04
2.7717767000e+03    3.0000000000e-05
2.7718434000e+03    1.0000000000e-04
2.7718704000e+03    2.5000000000e-04
2.7720879000e+03    1.9000000000e-04
2.7722258000e+03    1.1000000000e-04
2.7724842000e+03    7.0000000000e-05
2.7727216000e+03    1.4000000000e-03
2.7727243000e+03    2.0500000000e-03
2.7728175000e+03    1.8000000000e-04
2.7729020000e+03    3.5000000000e-04
2.7729412000e+03    7.5000000000e-04
2.7731967000e+03    1.7200000000e-03
2.7733425000e+03    1.5800000000e-03
2.7737677000e+03    2.9000000000e-04
2.7738886000e+03    2.1700000000e-03
2.7740369000e+03    3.5300000000e-03
2.7740415000e+03    1.8100000000e-03
