# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': '/gscratch/stf/stetef/work/10261259/xescalc/output.out', 'outfile': '/gscratch/stf/stetef/work/10261259/xescalc/xes.dat', 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 39 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.1614585000e+03    2.0000000000e-05
2.1598536000e+03    9.0000000000e-05
2.1590848000e+03    1.2000000000e-04
2.1587140000e+03    8.0000000000e-05
2.1577871000e+03    4.8000000000e-04
2.1573154000e+03    2.0000000000e-05
2.1569021000e+03    3.6000000000e-04
2.1567748000e+03    1.2400000000e-03
2.1562653000e+03    8.8000000000e-04
2.1559031000e+03    7.2000000000e-04
2.1555168000e+03    1.5000000000e-04
2.1554008000e+03    1.4100000000e-03
2.1553717000e+03    1.8000000000e-04
2.1548931000e+03    5.1000000000e-04
2.1546351000e+03    1.2000000000e-03
2.1541288000e+03    2.0000000000e-04
2.1534860000e+03    3.8000000000e-04
2.1531236000e+03    5.5000000000e-04
2.1522034000e+03    3.5000000000e-04
2.1506549000e+03    4.4000000000e-04
2.1484127000e+03    1.3000000000e-04
2.1465851000e+03    3.8000000000e-04
2.1454785000e+03    2.3000000000e-04
2.1434394000e+03    0.0000000000e+00
2.1400416000e+03    7.4000000000e-04
2.1381659000e+03    1.0000000000e-04
2.1377287000e+03    8.0000000000e-05
2.0222417000e+03    8.7580000000e-02
2.0222185000e+03    8.7610000000e-02
2.0221841000e+03    8.7050000000e-02
1.9769681000e+03    0.0000000000e+00
1.8887746000e+03    0.0000000000e+00
1.8883925000e+03    0.0000000000e+00
1.8880214000e+03    0.0000000000e+00
1.8865090000e+03    0.0000000000e+00
1.7776858000e+03    0.0000000000e+00
1.6449369000e+03    0.0000000000e+00
1.6447699000e+03    0.0000000000e+00
1.6436316000e+03    0.0000000000e+00
