# ================================
#  NWChem spectrum parser ver 2.2
# ================================
# 
# Parser runtime options: {'infile': '/gscratch/stf/stetef/work/10333834/xanes/output.out', 'outfile': '/gscratch/stf/stetef/work/10333834/xanes/xanes.dat', 'datafmt': 'auto', 'width': 0.1, 'nbin': 20, 'npoints': 2000, 'units': 'ev', 'delim': '    ', 'makespec': False, 'header': True, 'cchar': '#', 'verbose': False}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.0985938000e+03    1.3200000000e-03
2.1004522000e+03    7.0000000000e-05
2.1007387000e+03    3.6900000000e-03
2.1009252000e+03    1.8600000000e-03
2.1010050000e+03    4.6000000000e-04
2.1014829000e+03    2.0700000000e-03
2.1016818000e+03    1.0000000000e-05
2.1018328000e+03    2.6000000000e-04
2.1020036000e+03    2.9000000000e-04
2.1021897000e+03    3.3000000000e-04
2.1024225000e+03    5.3000000000e-04
2.1025670000e+03    2.5000000000e-04
2.1026646000e+03    3.1000000000e-04
2.1027806000e+03    1.9000000000e-04
2.1030359000e+03    1.9000000000e-04
2.1031075000e+03    2.6000000000e-04
2.1031658000e+03    4.0000000000e-05
2.1032977000e+03    4.8000000000e-04
2.1035333000e+03    2.2000000000e-04
2.1036185000e+03    3.7000000000e-04
2.1036764000e+03    5.0000000000e-05
2.1037988000e+03    1.5000000000e-04
2.1039429000e+03    1.1000000000e-04
2.1040732000e+03    3.1000000000e-04
2.1041836000e+03    1.0000000000e-05
2.1043838000e+03    6.0000000000e-05
2.1044735000e+03    4.2000000000e-04
2.1045261000e+03    2.5000000000e-04
2.1046043000e+03    8.0000000000e-05
2.1046501000e+03    2.1000000000e-04
2.1048395000e+03    3.0000000000e-05
2.1049538000e+03    4.0000000000e-05
2.1050255000e+03    2.3000000000e-04
2.1050873000e+03    3.3000000000e-04
2.1053808000e+03    2.2000000000e-04
2.1054393000e+03    6.0000000000e-05
2.1054871000e+03    4.4000000000e-04
2.1056934000e+03    4.5000000000e-04
2.1058695000e+03    2.6000000000e-04
2.1059713000e+03    2.2000000000e-04
2.1062575000e+03    8.9000000000e-04
2.1064059000e+03    1.2000000000e-04
2.1069195000e+03    2.2000000000e-04
2.1070418000e+03    4.1000000000e-04
2.1074955000e+03    4.3000000000e-04
2.1079137000e+03    4.2000000000e-04
2.1080431000e+03    3.3000000000e-04
2.1081350000e+03    5.8000000000e-04
2.1083037000e+03    7.8000000000e-04
2.1084616000e+03    9.0000000000e-05
